,timeToFitModel,timeToProcessSamples,accuracyScore,timeToProcessSamplesAvg,accuracyScoreAvg
1,0.433158,10396.166666666666,-1.4207973683568882,228054.33333333334,-1.1804151068377213
2,0.28458,10495.983333333334,-0.9330681896125712,194513.0,-0.9943030626631921
3,0.276736,10652.983333333334,-0.7149566924402723,196058.66666666666,-0.52598182965903
4,0.275939,10718.733333333334,-0.5285462097674802,195375.66666666666,-0.41416206668357863
5,0.276415,10774.65,-0.4832101352517528,193886.0,-0.37337349831073635
