,timeToFitModel,timeToProcessSamples,accuracyScore,timeToProcessSamplesAvg,accuracyScoreAvg
1,0.478725,9788.566666666668,-0.9228978987395893,221245.33333333334,-0.5808067437890975
2,0.220513,65760.16666666667,-0.8407130285226464,472074.6666666667,-0.9612141556693682
3,0.229338,13030.833333333334,-0.471966225622108,1971915.3333333333,-0.3664482023075848
4,0.202175,12924.1,-0.41612616218487286,3883068.0,-0.28189308988601963
5,0.194776,12674.933333333332,-0.2913466601060485,2241056.6666666665,-0.3608955473784614
