,timeToFitModel,timeToProcessSamples,accuracyScore,timeToProcessSamplesAvg,accuracyScoreAvg
1,0.423442,9802.333333333334,-0.365547375929183,221627.0,-0.2026605166419025
2,0.319776,9875.616666666667,0.07324930431811155,190639.33333333334,0.14975614709838703
3,0.270062,10001.933333333332,0.2502413658347458,190247.0,-0.025605196386188245
4,0.269055,10297.05,0.27618942288700893,204741.33333333334,0.2839692820747224
5,0.272034,10041.133333333333,0.3069231829049112,189411.66666666666,0.20299495374016263
6,0.265848,10116.2,0.35209786917709646,204014.33333333334,0.3768245875847886
7,0.264576,10163.016666666666,0.36899549190939873,188927.66666666666,0.4157442520574238
8,0.270989,11022.133333333333,0.3700581750501022,190046.33333333334,0.3432443128798821
9,0.266899,10255.433333333332,0.35603766682797866,187515.0,0.28508614986290237
10,0.265604,10559.566666666668,0.33609305712925325,188951.0,0.28531882325329505
11,0.317412,10826.95,0.35122473054359604,191786.0,0.3490567556165618
12,0.286429,11150.316666666668,0.33277745440191087,205568.33333333334,0.32931274014248546
13,0.345282,10862.116666666667,0.3234827909871362,197098.66666666666,0.39934607034006436
14,0.278147,10832.383333333333,0.3193481140074902,192187.33333333334,0.3470463201441192
15,0.276682,24298.216666666667,0.32117330786559684,212445.0,0.31455782314604885
16,0.267573,11566.666666666666,0.30985103103785194,187443.0,0.3005570578891615
17,0.265689,10864.033333333333,0.30580164627570944,188364.0,0.2951074149395594
18,0.267765,10968.583333333334,0.2849497614510228,189871.66666666666,0.2858785636112945
19,0.323545,11300.833333333334,0.2846158676271627,192128.66666666666,0.23695993406532617
20,0.290065,18058.4,0.2715664164899491,283825.3333333333,0.2852849445251728
21,0.297779,11131.216666666667,0.2585117730946346,196147.33333333334,0.23068160869455773
22,0.268854,11752.85,0.2377783243827853,190839.33333333334,0.2475631964859698
23,0.217085,16541.45,0.2363927568052202,687371.6666666666,0.2460151823182405
24,0.220193,90783.58333333333,0.2345719756888649,2818565.6666666665,0.23996396528708602
25,0.229237,16191.666666666666,0.2191214021115218,2415205.6666666665,0.2502081681138913
26,0.220951,17537.45,0.21384659623888252,3426274.0,0.24897874027950423
27,0.219011,16381.45,0.20868194454657785,1920649.3333333333,0.23470417896671114
28,11.659813,14884.716666666667,0.19059376921750482,615605.0,0.2522849992091489
29,0.198399,158240.05,0.17968843822056818,2433834.6666666665,0.2465174149765928
30,0.260117,15516.083333333334,0.17741721926377363,1183132.0,0.24934781532876915
31,0.22066,110204.56666666667,0.16972317866773384,2731472.3333333335,0.19838692382800033
32,0.210006,15233.433333333332,0.15466897693910658,1958307.6666666667,0.20341854833464684
33,0.210909,57121.11666666667,0.13877206526203834,3050428.3333333335,0.2027160657631778
34,0.203448,14893.0,0.12014460837116109,1759696.0,0.19186078908302212
35,0.197184,84858.7,0.0995464642565494,2698224.0,0.1899230617093945
36,0.19794,15069.216666666667,0.08153852203807621,1620220.6666666667,0.16133472296245277
37,0.197956,87541.13333333333,0.06854055681378296,2783970.6666666665,0.11278071281963942
38,0.200961,18650.066666666666,0.04770917688986609,2042094.3333333333,0.0825674968906715
39,0.212751,15695.016666666666,0.02955663433214084,3872936.0,0.04895016291305099
40,0.202813,15102.566666666668,0.012809695887536776,2617275.6666666665,0.05734869173072049
41,0.198407,15410.566666666668,-0.0012587999537638783,3232661.6666666665,0.04117721996196411
42,0.199224,15252.516666666666,-0.018119368154522197,2555654.3333333335,0.011253208597503506
43,0.199128,15602.45,-0.030313317833750908,3317022.6666666665,-0.009333821896185257
44,0.199403,15165.85,-0.040717029516813996,2153687.0,-0.024767455146320783
45,0.200487,15289.466666666667,-0.05609451168433127,3719721.0,-0.03893861749468208
46,0.19893,15078.016666666666,-0.06970061103934483,2579688.6666666665,-0.05361948251834503
