,timeToFitModel,timeToProcessSamples,accuracyScore,error,timeToProcessSamplesAvg,accuracyScoreAvg,errorAvg
1,0.444699,0.01077995,-0.47697438804805226,1.895343171961669,0.258154,-0.38206526709316435,1.8138375842305983
2,0.310872,0.01168965,-0.15077589993459117,1.8369167895296383,0.22327033333333332,-0.3390602939716943,1.6326445207106426
3,0.302479,0.010983716666666667,-0.01907077188724482,1.777869871591419,0.20803266666666667,-0.3614110330498068,1.8915900628850875
4,0.300748,0.010756916666666666,0.007446465452163709,1.7546418179582752,0.22369366666666668,-0.042539113796876415,1.604156822525588
5,0.215354,0.05439218333333333,0.03443044961746505,1.7017669635664343,0.35645166666666667,-0.07116255165409102,1.7660886266208138
6,0.239653,0.0611379,0.048791434812289425,1.7194692747994462,3.3107846666666667,-0.0058818512043229965,1.6930285345701435
7,0.240981,0.1034382,0.053483025884413116,1.737570319057912,3.00691,0.03409758439423527,1.6965629174147345
8,0.245111,0.017336066666666667,0.05275794553805058,1.7643836057393354,2.3712536666666666,-0.07208831543801447,1.8111559766149465
9,0.247013,0.01600998333333333,0.002897216181951656,1.8205639780259255,1.546341,-0.01989096205228258,1.764948758739133
10,0.279647,0.015993033333333333,-0.060027818034920855,1.9069652868198765,0.9808023333333333,-0.10203257050129483,1.9015105157769643
11,0.247772,0.016001183333333332,-0.10247775892873467,1.9546277147571458,4.1715246666666665,-0.18451224466410776,1.9905162370765346
