,timeToFitModel,timeToProcessSamples,accuracyScore,timeToProcessSamplesAvg,accuracyScoreAvg
1,0.586074,195785.38333333333,-0.7466457093989973,435619.3333333333,-1.1089846052889045
2,0.477577,194381.96666666667,-0.3118966052748453,373321.0,0.34802898565257145
3,0.468999,206485.65,-0.09129426944745367,373052.3333333333,0.348749039016658
4,0.472974,192714.31666666668,0.04468349424426571,393213.3333333333,0.3009300175998499
5,0.48106,194106.33333333334,0.010912209073788981,387149.3333333333,0.20871136100310317
6,0.509506,187957.76666666666,0.05948849670154016,368533.3333333333,0.4541893602283121
7,0.468278,197325.9,0.07002178868326603,353545.6666666667,0.3798208227000882
8,0.523402,199366.75,0.13237596531380907,366592.0,0.2855220820645373
9,0.472358,207422.65,0.13360668592733166,380451.3333333333,0.17658200689754894
10,0.468887,192590.58333333334,0.11936770408954517,388238.3333333333,0.2457115806245137
11,0.439876,196648.71666666667,0.1147319451395108,375055.3333333333,0.1864202072025648
12,0.465376,192502.36666666667,0.1277918997058664,394399.3333333333,0.19430619394045628
13,0.460782,198758.53333333333,0.11223207396272816,384516.0,0.20662660513118958
14,0.457621,219399.93333333332,0.11832424683821319,387757.3333333333,0.27101776465722943
15,0.474809,212821.48333333334,0.13136653510821444,407104.6666666667,0.2958706397769397
16,0.467168,193646.61666666667,0.1252261456964952,392119.6666666667,0.3247594744424213
17,0.441531,195832.6,0.11255007546209517,394108.0,0.29557500141637205
18,0.461006,195928.78333333333,0.09735015717053974,387868.3333333333,0.33718615749250835
19,0.460835,203673.16666666666,0.09323132693330521,378838.6666666667,0.24032742982376487
20,0.463936,196502.5,0.07471575671568698,383975.0,0.19376035094742783
21,0.538946,212357.6,0.0712382565816369,369576.0,0.13518063480672798
22,0.507603,193834.93333333332,0.056706957159120774,378284.3333333333,0.11790787961944943
23,0.184004,210759.58333333334,0.06524296113301525,412511.3333333333,0.14303917777056485
24,0.199495,207829.46666666667,0.04658406046695729,407863.0,0.11871907737857307
25,0.193183,210751.98333333334,0.04926370293520255,406568.0,0.13804521607593856
26,0.201474,204688.4,0.04787489611617768,408782.6666666667,0.11805108426116173
27,0.240586,213387.35,0.0333177879370638,412599.6666666667,0.05546312489706179
28,0.198454,205451.75,0.03708452236266452,406223.6666666667,0.04484723630844123
29,0.178668,207587.05,0.02807125267356214,474108.0,0.0352118967807149
30,0.195306,206270.48333333334,0.01324943916363791,420927.6666666667,0.015226886582735966
31,0.196869,216006.91666666666,-0.0003644152913376275,429899.3333333333,-0.03240275916185226
32,0.192315,208159.23333333334,-0.014933008271253267,397314.0,-0.06115603792354751
33,0.196506,221298.46666666667,-0.031104571574929296,404827.0,-0.0821965795616087
34,0.195831,201747.75,-0.051312804785441535,438730.0,-0.11259734598808069
35,0.180803,206602.38333333333,-0.07102401643292966,423809.6666666667,-0.06927544705180627
36,0.298807,230769.43333333332,-0.09384926646542457,466933.6666666667,-0.05590224963659901
37,0.191363,214480.85,-0.11954826885352487,438799.6666666667,-0.06807656978592758
38,0.195622,214265.16666666666,-0.13254675238743036,405492.6666666667,-0.1454222333938835
39,0.194305,225532.21666666667,-0.14049702360538135,409397.3333333333,-0.1451810116166079
40,0.195275,209523.31666666668,-0.15490952051237672,426601.6666666667,-0.16438388143556582
41,0.198655,208680.81666666668,-0.17609121931668842,411526.3333333333,-0.2066084635980796
42,0.195527,206606.08333333334,-0.19259236402176072,408231.0,-0.25182037419984704
43,0.176087,215036.25,-0.20523129789008504,652118.3333333334,-0.24828774850335578
44,0.243823,211333.65,-0.23600867954531202,416390.3333333333,-0.2592894517195574
45,0.197103,225989.46666666667,-0.26030142496364594,410561.6666666667,-0.269752988252281
46,0.194273,209655.65,-0.28037421069082014,417680.6666666667,-0.28037421069081936
