,timeToFitModel,timeToProcessSamples,accuracyScore,timeToProcessSamplesAvg,accuracyScoreAvg
1,0.436008,10295.05,-0.9228978987395893,245597.66666666666,-0.5808067437890975
2,0.196098,76909.51666666666,-0.9060902989334478,190343.66666666666,-1.1928434797371539
3,0.195988,12275.333333333334,-0.434777641831648,148094.33333333334,-0.17640784531788312
4,0.195099,12330.466666666667,-0.40262287492930693,147720.33333333334,-0.0627939593714481
5,0.195919,12352.916666666666,-0.2598275214440807,5691275.333333333,-0.2598275214440806
