,timeToFitModel,timeToProcessSamples,accuracyScore,error,timeToProcessSamplesAvg,accuracyScoreAvg,errorAvg
1,0.781725,0.34303315,-0.7466457093989973,2.023649834132246,0.567285,-1.1089846052889045,2.4465838518364618
2,0.721936,0.34029508333333336,-0.3118966052748453,1.9180457968355047,0.5647763333333333,0.34802898565257145,1.1736349531585526
3,0.714117,0.3659251,-0.09129426944745367,1.7817082699555151,0.577446,0.348749039016658,1.2075842777322245
4,0.693453,0.3535305166666667,0.04468349424426571,1.716988213972851,0.5541943333333333,0.3009300175998499,1.1792609295365866
5,0.756721,0.37277126666666666,0.010912209073788981,1.782969670435181,0.5215973333333334,0.20871136100310317,1.1950848522494026
6,0.690067,0.36104088333333334,0.05948849670154016,1.740025037891578,0.5469993333333333,0.4541893602283121,1.070755341869553
7,0.681372,0.35429395,0.07002178868326603,1.741871523028788,0.5414896666666666,0.3798208227000882,1.1327491708323858
8,1.082788,0.34851841666666666,0.13237596531380907,1.6716141395242932,0.545068,0.2855220820645373,1.2724205504031332
9,0.693485,0.34060003333333333,0.13360668592733166,1.6728423342481988,0.5582286666666667,0.17658200689754894,1.3740626246668928
10,0.760982,0.35388451666666665,0.11936770408954517,1.6933959133711327,0.5372296666666667,0.2457115806245137,1.4365543149073823
11,0.788953,0.3651491333333333,0.1147319451395108,1.7080746854267959,0.5836516666666667,0.1864202072025648,1.5059274373657896
12,0.719872,0.3639668166666667,0.1277918997058664,1.7007217740903926,0.598271,0.19430619394045628,1.5558108465014417
13,0.70856,0.35522903333333333,0.11223207396272816,1.7286950267203898,0.5470683333333334,0.20662660513118958,1.5183025773667007
14,0.69165,0.35393556666666665,0.11832424683821319,1.7213576483980797,0.7559483333333333,0.27101776465722943,1.4364818316301768
15,0.742921,0.37616968333333334,0.13136653510821444,1.7110253209603945,0.5216653333333333,0.2958706397769397,1.4194653370729498
16,0.70191,0.40380076666666664,0.1252261456964952,1.726114624427905,0.6904923333333334,0.3247594744424213,1.4155355847312407
17,0.701637,0.3603093666666667,0.11255007546209517,1.7409224671507568,0.538233,0.29557500141637205,1.4401665619839115
18,0.688558,0.3470419,0.09735015717053974,1.760699059656446,0.527079,0.33718615749250835,1.4081057414916767
19,0.719642,0.41377063333333336,0.09323132693330521,1.7647071878139635,0.587311,0.24032742982376487,1.5370004815062377
20,0.700351,0.37936945,0.07471575671568698,1.7859863258764888,0.5571113333333333,0.19376035094742783,1.5952495571850864
21,1.285005,0.3571907833333333,0.0712382565816369,1.7896163412082242,0.5998703333333333,0.13518063480672798,1.6797776152350163
22,0.753978,0.35083628333333333,0.056706957159120774,1.8029005593292162,0.5349156666666667,0.11790787961944943,1.6968081700402664
23,0.292616,0.36462806666666664,0.06524296113301525,1.7995708599397766,0.6101193333333333,0.14303917777056485,1.6780051667948197
24,0.290125,0.3567521166666667,0.04658406046695729,1.818621854418144,0.5862936666666667,0.11871907737857307,1.710954607187281
25,0.303969,0.39455415,0.04926370293520255,1.8169621596373298,0.585212,0.13804521607593856,1.7033268334469251
26,0.260736,0.3857677333333333,0.04787489611617768,1.8206357663255068,0.6040046666666666,0.11805108426116173,1.7433506246605266
27,0.269211,0.3586055833333333,0.0333177879370638,1.8373209805871062,0.595661,0.05546312489706179,1.8053050152148449
28,0.265916,0.3633906,0.03708452236266452,1.8369301150557298,0.5845986666666667,0.04484723630844123,1.819649124110842
29,0.266452,0.3457976,0.02807125267356214,1.8469660888563966,0.5940086666666666,0.0352118967807149,1.827653409501016
30,0.26333,0.3530178333333333,0.01324943916363791,1.8645294868814628,0.673479,0.015226886582735966,1.8455328752682505
31,0.242564,0.3668121166666667,-0.0003644152913376275,1.8787049040483401,0.6054996666666667,-0.03240275916185226,1.8910584903611791
32,0.262338,0.35980948333333335,-0.014933008271253267,1.8931574846214896,0.6060863333333333,-0.06115603792354751,1.9296398330270108
33,0.264572,0.36292756666666665,-0.031104571574929296,1.9111704677958048,0.5748563333333333,-0.0821965795616087,1.9604142895493715
34,0.262663,0.374726,-0.051312804785441535,1.9319947496074918,0.5884166666666667,-0.11259734598808069,1.9882316350255944
35,0.33535,0.35451095,-0.07102401643292966,1.9519036828380274,0.5725486666666667,-0.06927544705180627,1.9427824308236563
36,0.261199,0.35006978333333333,-0.09384926646542457,1.9760521769769748,0.719863,-0.05590224963659901,1.9193207580209657
37,0.299343,0.35458316666666667,-0.11954826885352487,2.001390293807892,0.672267,-0.06807656978592758,1.9324733027302896
38,0.262422,0.3538900833333333,-0.13254675238743036,2.0151610766504047,0.6129606666666667,-0.1454222333938835,2.006945525922486
39,0.276994,0.36342566666666665,-0.14049702360538135,2.0239760243490617,0.593411,-0.1451810116166079,2.0202467175052523
40,0.281091,0.36602485,-0.15490952051237672,2.037396262412405,0.60043,-0.16438388143556582,2.0440807379494346
41,0.287129,0.3676019833333333,-0.17609121931668842,2.0585728791956726,0.5895406666666667,-0.2066084635980796,2.07964607529349
42,0.264787,0.36354946666666665,-0.19259236402176072,2.0731279803586915,0.6072,-0.25182037419984704,2.127012142114969
43,0.261515,0.36653648333333333,-0.20523129789008504,2.085903957727048,0.5946616666666666,-0.24828774850335578,2.129274935400035
44,0.262528,0.37030555,-0.23600867954531202,2.112147370422945,0.5952406666666666,-0.2592894517195574,2.1441355846954817
45,0.258537,0.3412991833333333,-0.26030142496364594,2.1334471251910228,0.589987,-0.269752988252281,2.141925891693758
46,0.273478,0.3521272833333333,-0.28037421069082014,2.151929782133,0.6084496666666667,-0.28037421069081936,2.1519297821329997
