,x,y,rssi1,rssi2,rssi3,rssi4,rssi5,rssi1_std_dev,rssi2_std_dev,rssi3_std_dev,rssi4_std_dev,rssi5_std_dev
2,0.0,1.8,-36.9,-33.55,-48.35,-44.5,-42.25,10.706122203280652,1.9861361590045292,7.79524146346245,4.1612245161351495,7.268352452132537
5,0.0,3.6,-43.85,-44.8,-46.9,-46.55,-34.45,2.996050031203365,4.36010622758087,3.9456838510746897,5.558066683943069,2.6650762801367187
8,0.0,5.4,-39.55,-36.4,-42.3,-45.65,-36.6,4.285532577601552,3.084767328938149,4.531759272651534,7.949015165746206,1.0462967275611934
26,1.8,3.6,-45.45,-39.0,-46.3,-47.7,-22.5,3.720144309594794,2.1521103473958814,3.3732695368768053,10.780586840779074,1.3178930553209385
28,1.8,0.0,-46.6,-42.0,-47.65,-48.0,-42.6,8.305990228998017,1.3764944032233708,2.207046132634962,4.34074938958216,4.9139971938385
