,x,y,rssi1,rssi2,rssi3,rssi4,rssi5,rssi1_std_dev,rssi2_std_dev,rssi3_std_dev,rssi4_std_dev,rssi5_std_dev
0,0.08,2.22,-38.2,-41.95,-48.15,-50.15,-33.55,10.976529985670144,4.547700402111865,5.94071588810287,3.7874446322164594,1.7910596686995397
1,1.34,0.46,-30.85,-28.6,-51.0,-47.6,-41.35,4.392277912787157,3.283130726672494,3.866182667833044,7.507189536493808,13.834643776442261
2,2.83,4.25,-44.05,-42.9,-46.75,-48.7,-34.8,4.53611240926343,12.764671641106291,8.949419269603917,6.790860731430458,4.583724066279456
