,timeToFitModel,timeToProcessSamples,accuracyScore,error,timeToProcessSamplesAvg,accuracyScoreAvg,errorAvg
1,0.439453,0.0113175,-0.47697438804805226,1.895343171961669,0.240451,-0.38206526709316435,1.8138375842305983
2,0.325576,0.010540783333333333,-0.15077589993459117,1.8369167895296383,0.209212,-0.3390602939716943,1.6326445207106426
3,0.336579,0.010995116666666667,-0.01907077188724482,1.777869871591419,0.205892,-0.3614110330498068,1.8915900628850875
4,0.309675,0.0112311,0.007446465452163709,1.7546418179582752,0.21604433333333334,-0.042539113796876415,1.604156822525588
5,0.228666,0.0768186,0.03443044961746505,1.7017669635664343,0.38984266666666667,-0.07116255165409102,1.7660886266208138
6,0.253152,0.10257643333333333,0.048791434812289425,1.7194692747994462,2.325592,-0.0058818512043229965,1.6930285345701435
7,0.239952,0.018167433333333333,0.053483025884413116,1.737570319057912,1.345765,0.03409758439423527,1.6965629174147345
8,0.236624,0.016587716666666665,0.05275794553805058,1.7643836057393354,1.251493,-0.07208831543801447,1.8111559766149465
9,0.454544,0.04194406666666667,0.002897216181951656,1.8205639780259255,2.335413,-0.01989096205228258,1.764948758739133
10,0.257391,0.07840636666666667,-0.060027818034920855,1.9069652868198765,2.9908936666666666,-0.10203257050129483,1.9015105157769643
11,0.246926,0.1006969,-0.10247775892873467,1.9546277147571458,3.212784,-0.18451224466410776,1.9905162370765346
