,timeToFitModel,timeToProcessSamples,accuracyScore,error,timeToProcessSamplesAvg,accuracyScoreAvg,errorAvg
1,0.481355,0.011724116666666666,-1.4207973683568882,2.7543814794131043,0.25551233333333334,-1.1804151068377213,2.5356927309186195
2,0.30051,0.01065175,-0.9104335564239923,2.370309688311884,0.20054433333333332,-1.0030659485932332,2.607422961717266
3,0.299156,0.011647116666666667,-0.6856383507132768,2.2092649049896838,17.659435333333334,-0.4933799083441848,2.102462522743504
4,0.324508,0.012584033333333333,-0.49034526932771183,2.0896013991553075,0.234342,-0.37688675271253685,1.8855261540334187
5,0.329483,0.011240533333333334,-0.455464698453258,2.05457792520285,0.20969466666666667,-0.35126281597126846,1.7874508255079515
6,0.320824,0.01122895,-0.41109467604860556,2.023398581584455,0.204723,-0.36638792539486853,1.8082226982422462
7,0.303591,0.01144685,-0.38128688625802243,1.984815292747659,0.20079366666666668,-0.3558389203672663,1.7736562177981767
8,0.294692,0.0114635,-0.3814716742854442,1.9871486504890223,0.19843666666666668,-0.372844051150232,1.8025165611981535
9,0.294794,0.011852333333333333,-0.34649707395423024,1.9402582816647798,0.20436966666666667,-0.30832076586747703,1.8022247481890996
10,0.371605,0.011679533333333334,-0.3278219591709639,1.9132163493818233,0.258517,-0.2956181203629086,1.7893512590644065
11,0.307085,0.011824333333333333,-0.3044119351080444,1.8958249432614438,0.20020166666666667,-0.3773480572204657,1.8416063150944222
12,0.298341,0.0118336,-0.32639293042100975,1.9122908518950987,0.20032666666666665,-0.38265102622609376,1.8426605532890477
13,0.297662,0.012002833333333334,-0.331147612286794,1.9074941133510834,0.20019766666666666,-0.3298223023974432,1.8083970209664901
14,0.298407,0.012024,-0.34538298684879665,1.9228521509306984,0.20245033333333334,-0.33745802615523557,1.813179222890085
15,0.398051,0.012164383333333334,-0.34510233880320457,1.9220582612539063,0.20408266666666666,-0.40206875443996987,1.8827703313878679
16,0.302281,0.013157966666666666,-0.3422246194947346,1.9229117957126955,0.20097433333333334,-0.45903139663646875,1.9656887407007961
17,0.715429,0.0167319,-0.3458679005480207,1.9172333623972595,0.29712866666666665,-0.5329391151259746,2.0581737585466313
18,0.358604,0.012503383333333333,-0.3503208306688567,1.9209935385243735,0.21317466666666668,-0.5177301033251738,2.0088819434977694
19,0.30389,0.0124856,-0.3591126512727339,1.9354681485592669,0.20269866666666667,-0.4199211956278511,1.9576186634614554
20,0.29983,0.012466466666666667,-0.35367400100619,1.9324460297359058,0.21715766666666667,-0.46468087441995454,1.982490306973039
21,0.297089,0.013371883333333332,-0.36897849615427636,1.9503790833427856,0.20015433333333332,-0.44584605712515085,1.937856635383098
22,0.335112,0.0127569,-0.3500138931367142,1.938652887933275,0.201195,-0.45949730964025537,1.9591022684590051
23,0.324635,0.014583316666666667,-0.3368002228399977,1.9271275628916897,0.20979833333333334,-0.3909390343414687,1.942241228580331
24,0.423658,0.013142883333333334,-0.33950147664662456,1.9345401904226938,0.232626,-0.3696745328745244,1.918810952049285
25,0.327224,0.013056883333333333,-0.35486187003503666,1.949482252112641,0.21171966666666667,-0.41272349269494574,1.9583093739843314
26,0.319512,0.013023483333333334,-0.3539154514494509,1.9440894455901374,0.203912,-0.375185093766684,1.942855240572273
27,0.308363,0.014607866666666667,-0.3586789447276858,1.959604724989973,0.202565,-0.32270047306023797,1.8780283987372133
28,0.318759,0.017105216666666666,-0.34321459573898616,1.9449227361377124,0.246221,-0.29548836561401515,1.8660733305338504
29,0.68189,0.01753298333333333,-0.34051596343914614,1.9404465571513825,0.46326033333333333,-0.28515168006447394,1.8792666358821737
30,0.501317,0.018027916666666668,-0.33223389691617566,1.9396499656401112,0.2733523333333333,-0.32277902567983713,1.9154163819050958
31,0.397404,0.0139963,-0.32631288425516314,1.9355583318896898,0.2771443333333333,-0.327863502263622,1.9079899371911206
32,0.351305,0.013300966666666667,-0.33273702097400026,1.9466592161981944,0.20080233333333333,-0.3081771262907104,1.8909525009752752
