,timeToFitModel,timeToProcessSamples,accuracyScore,error,timeToProcessSamplesAvg,accuracyScoreAvg,errorAvg
1,0.452055,0.01184555,-1.4207973683568882,2.7543814794131043,0.24729,-1.1804151068377213,2.5356927309186195
2,0.310651,0.011770383333333334,-0.9330681896125712,2.387378267426349,0.20996566666666666,-0.9943030626631921,2.5893545857023157
3,0.335739,0.0113276,-0.7149566924402723,2.2386400223357685,0.21841966666666668,-0.52598182965903,2.1335672648150457
4,0.32692,0.011386433333333333,-0.5285462097674802,2.124084378218223,0.208999,-0.41416206668357863,1.9480135516774675
5,0.298004,0.011806166666666666,-0.4832101352517528,2.079279898588638,0.4554166666666667,-0.37337349831073635,1.844045818272347
6,0.29901,0.011669766666666666,-0.44095011410616447,2.050298658638923,0.20944633333333335,-0.36072316388757775,1.7948916165709725
7,0.302354,0.01179315,-0.40974313486534486,2.0134239493794253,0.21011233333333335,-0.3635690383698619,1.8051668018054414
8,0.298224,0.0118188,-0.4028573268059644,2.0120796440784994,0.22741266666666668,-0.36270538551889064,1.7911461984360824
9,0.296946,0.012832183333333334,-0.36927748437032487,1.971442561503529,0.20688166666666666,-0.317313167462952,1.7836753203083768
10,0.564221,0.01227265,-0.3518127071220148,1.9482020488346434,0.21563866666666667,-0.3016664180165662,1.7651856981971399
11,0.2984,0.012152283333333333,-0.3285405214871851,1.9303272035821375,0.209491,-0.37746458646517067,1.8353062750173443
12,0.297033,0.012209133333333334,-0.3452483096017487,1.941310838162511,0.20968,-0.37723094440877913,1.8277903822757058
13,0.297722,0.012303016666666666,-0.3476077684397646,1.9358627225163167,0.21083366666666667,-0.3406269954261442,1.8040897075337592
14,0.298528,0.012428666666666666,-0.3577041364303574,1.9483249285527064,0.210209,-0.34270140121107656,1.8013806933412393
15,0.298103,0.01245345,-0.3553640966461741,1.9463891281534764,0.208917,-0.39137765701749666,1.8530364065220055
16,0.296946,0.012561116666666667,-0.350068901851751,1.9431163527655189,0.21316933333333332,-0.4321354980482724,1.9119517477334764
17,0.316525,0.01349835,-0.3512082004053638,1.9362345107012524,0.23887,-0.48551754135499925,1.9813549807451691
18,0.330276,0.0129817,-0.35398686679167657,1.936341761576378,0.21468666666666666,-0.47881205625516926,1.9532556273107164
19,0.313489,0.013687216666666667,-0.3598283103898577,1.9456362095015507,0.210338,-0.40856017556431873,1.9142403224275804
20,0.297113,0.014969916666666666,-0.3554039514875921,1.942781744819732,0.20903466666666667,-0.4424212351462405,1.9357073364251622
21,0.30036,0.01298645,-0.36690982991918175,1.9560534390269795,0.215455,-0.4314695319410146,1.910137048050485
22,0.323066,0.025583166666666667,-0.3524311387453981,1.9473319464387033,0.283162,-0.4441846894193672,1.9284383371564064
23,0.348119,0.013493466666666667,-0.34123475470882814,1.9380021986448546,0.233335,-0.3924545139529206,1.9109001006769295
24,0.36852,0.01308535,-0.34192145408502744,1.9418948943305312,0.211504,-0.37877777887971276,1.8980989985182461
25,0.301266,0.013129366666666666,-0.3531015937115234,1.951845865109444,0.21241633333333335,-0.40952240434925846,1.9271328649103132
26,0.297661,0.013166666666666667,-0.35256167981742725,1.9478804816661848,0.210724,-0.3798069388900936,1.9129083917549556
27,0.299632,0.013176166666666666,-0.3558717358510447,1.959043094391374,0.20897666666666667,-0.3429181053502432,1.8707475408386838
28,0.306428,0.013481883333333333,-0.3446430533520448,1.9483993851038512,0.21897366666666668,-0.3211096676425594,1.8601209588372847
29,0.344793,0.013795833333333334,-0.3429166492559408,1.9453466508102821,0.241665,-0.31651452221289245,1.8721838840152387
30,0.329679,0.01362585,-0.3356088950647812,1.9431525478549,0.219799,-0.34146205996237294,1.8969710296273827
31,0.313503,0.01349385,-0.33115666170783736,1.939801272536029,0.212416,-0.3448909118345837,1.892615211829141
32,0.301664,0.0135247,-0.3350731772545279,1.9465486292856695,0.210573,-0.32867138812294117,1.8790155598482237
33,0.298811,0.013823283333333334,-0.3185823086451873,1.9303479213936645,0.211909,-0.3443726721265835,1.911800730096866
34,0.319095,0.013696316666666666,-0.3250245853156272,1.939231349908528,0.21408733333333332,-0.32276381557331274,1.9006434878876892
35,0.302033,0.01364455,-0.3224705330905112,1.940662680242702,0.21063233333333334,-0.33668194140298247,1.904213429581186
36,0.298193,0.013765766666666667,-0.31606289006680305,1.9390572479740305,0.254176,-0.32385061866373965,1.8931352053085968
37,0.301307,0.013978333333333334,-0.3179013272707288,1.9434381166419004,0.21237866666666666,-0.3255421110729006,1.903195489145572
38,0.299516,0.013945816666666666,-0.31541301027117263,1.9458988917291484,0.21311666666666668,-0.34000390434779215,1.9320862917300987
39,0.312062,0.013593516666666666,-0.3172225398024354,1.9500967809670606,0.21224566666666667,-0.3486340407794522,1.9422317507976594
